line_id	source_image_id	source_group	x	y	w	h	detector_version	crop_path	quality_score	provisional_class	raw_prelabel	verified_text	label_status	review_status
IMG_0125_L00	IMG_0125	P_20260903_203941	0	0	861	94	v1.1	work/crops/IMG_0125_L00.jpg	114.46219184031881	TEXT_ONLY	i		PRELABELED	PENDING
IMG_0171_L02	IMG_0171	P_20260903_204041	0	244	965	158	v1.1	work/crops/IMG_0171_L02.jpg	112.16355397664204	TEXT_ONLY	fnhưt		PRELABELED	PENDING
IMG_0033_L00	IMG_0033	P_20260903_203735	0	0	1358	132	v1.1	work/crops/IMG_0033_L00.jpg	110.04171693721914	TEXT_ONLY	Thể tích của hai chai nước là:		PRELABELED	PENDING
IMG_0033_L02	IMG_0033	P_20260903_203735	0	180	1358	318	v1.1	work/crops/IMG_0033_L02.jpg	110.04171693721914	TEXT_ONLY	h Bht c khẻ đổ đây nhiếu nhật ố		PRELABELED	PENDING
IMG_0052_L00	IMG_0052	P_20260903_203800	0	0	1269	133	v1.1	work/crops/IMG_0052_L00.jpg	108.74570733400552	TEXT_ONLY	a Bãi giải: nồ cả là		PRELABELED	PENDING
IMG_0052_L01	IMG_0052	P_20260903_203800	0	91	1197	121	v1.1	work/crops/IMG_0052_L01.jpg	108.74570733400552	TEXT_ONLY	iện tích saung quanh của nhinh		PRELABELED	PENDING
IMG_0052_L02	IMG_0052	P_20260903_203800	0	178	1310	115	v1.1	work/crops/IMG_0052_L02.jpg	108.74570733400552	TEXT_ONLY	chữa nhật là:		PRELABELED	PENDING
IMG_0062_L00	IMG_0062	P_20260903_203814	0	0	1330	416	v1.1	work/crops/IMG_0062_L00.jpg	107.65503640225124	TEXT_ONLY	Png l à yn a na ep		PRELABELED	PENDING
IMG_0001_L00	IMG_0001	P_20260903_203635	49	0	1282	215	v1.1	work/crops/IMG_0001_L00.jpg	106.26619443721258	TEXT_ONLY	ển uốn khiếu bận được là:		PRELABELED	PENDING
IMG_0001_L01	IMG_0001	P_20260903_203635	0	149	1342	234	v1.1	work/crops/IMG_0001_L01.jpg	106.26619443721258	TEXT_ONLY	Số tiển uổi sằng bản àớcotồng		PRELABELED	PENDING
IMG_0014_L00	IMG_0014	P_20260903_203709	0	0	1414	350	v1.1	work/crops/IMG_0014_L00.jpg	105.9640651988772	TEXT_ONLY	xã hớt i gn nnhm Tâạ tươ		PRELABELED	PENDING
IMG_0100_L01	IMG_0100	P_20260903_203905	34	171	779	49	v1.1	work/crops/IMG_0100_L01.jpg	105.92082940005582	TEXT_ONLY	e		PRELABELED	PENDING
IMG_0095_L00	IMG_0095	P_20260903_203856	33	0	1472	175	v1.1	work/crops/IMG_0095_L00.jpg	103.78623866964246	TEXT_ONLY	thời gian là:		PRELABELED	PENDING
IMG_0127_L01	IMG_0127	P_20260903_203945	28	254	1149	330	v1.1	work/crops/IMG_0127_L01.jpg	98.82082785195489	TEXT_ONLY	u ý lỏ iý dổ nhên nhạn		PRELABELED	PENDING
IMG_0080_L00	IMG_0080	P_20260903_203840	19	0	1268	369	v1.1	work/crops/IMG_0080_L00.jpg	95.53580351447827	TEXT_ONLY	 gn ỗ hiử t		PRELABELED	PENDING
IMG_0061_L00	IMG_0061	P_20260903_203814	0	0	1355	399	v1.1	work/crops/IMG_0061_L00.jpg	94.69319501247554	TEXT_ONLY	Ca Tpih oả nê a enh eáp nhn		PRELABELED	PENDING
IMG_0061_L01	IMG_0061	P_20260903_203814	3	356	1352	119	v1.1	work/crops/IMG_0061_L01.jpg	94.69319501247554	TEXT_ONLY	"là:"""		PRELABELED	PENDING
IMG_0006_L01	IMG_0006	P_20260903_203652	0	588	1294	205	v1.1	work/crops/IMG_0006_L01.jpg	91.25666320233533	TEXT_ONLY	Số hi lờ gamheai Ncó là:		PRELABELED	PENDING
IMG_0145_L00	IMG_0145	P_20260903_204000	14	0	1226	429	v1.1	work/crops/IMG_0145_L00.jpg	87.79576407089252	TEXT_ONLY	  ã) 		PRELABELED	PENDING
IMG_0157_L02	IMG_0157	P_20260903_204015	0	497	1287	238	v1.1	work/crops/IMG_0157_L02.jpg	77.66408534420415	TEXT_ONLY	hất ố lệ guân glài áó)		PRELABELED	PENDING
IMG_0157_L04	IMG_0157	P_20260903_204015	480	826	459	24	v1.1	work/crops/IMG_0157_L04.jpg	77.66408534420415	TEXT_ONLY	ààặ		PRELABELED	PENDING
IMG_0109_L00	IMG_0109	P_20260903_203916	61	0	1279	415	v1.1	work/crops/IMG_0109_L00.jpg	74.59760621641249	TEXT_ONLY	G gihn tn Tng thư ha hc		PRELABELED	PENDING
IMG_0109_L07	IMG_0109	P_20260903_203916	0	600	1136	47	v1.1	work/crops/IMG_0109_L07.jpg	74.59760621641249	TEXT_ONLY	KVA		PRELABELED	PENDING
IMG_0002_L00	IMG_0002	P_20260903_203635	0	0	1397	404	v1.1	work/crops/IMG_0002_L00.jpg	74.01867833267544	TEXT_ONLY	Lng ố gi. e		PRELABELED	PENDING
IMG_0051_L00	IMG_0051	P_20260903_203800	17	0	1186	264	v1.1	work/crops/IMG_0051_L00.jpg	73.931719930598	TEXT_ONLY	hnnhấi la cng Huanh a hình hậ		PRELABELED	PENDING
